S.No,AppTag,LOB,AuthReq,ImmediateTxf,ClarfierQuestion,NextAction
1,account_login-get_help,SHARED_MM_BW,Y,N,NA,WEBSITE_HELP
2,account_login-get_help,BW_PROD_BW,Y,N,NA,TECH_SUP
3,account_login-get_help,FOREMOST_AGENT_FOREMOST,Y,N,NA,FOREMOST_STAR
4,account_login-get_help,FARM_PL_FAS,Y,N,NA,FAS_ADD_DEPT
5,account_login-get_help,SHARED_MM_FARMERSERVICE,Y,N,NA,WEBSITE_HELP
6,account_login-get_help,FARMER_SALES_FARMER_TRAINING,Y,N,NA,WEBSITE_HELP
7,account_login-get_help,FARMER_VANITY_VANITY,Y,N,NA,WEBSITE_HELP
8,account_login-get_help,SHARED_MM_HOMEOWNER,Y,N,NA,WEBSITE_HELP
9,account_login-get_help,21V,Y,N,NA,WEBSITE_HELP
10,account_login-get_help,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,WEBSITE_HELP
11,account_login-get_help,21SV,Y,N,NA,WEBSITE_HELP
12,account_login-get_help,21SM,Y,N,NA,WEBSITE_HELP
13,account_login-get_help,SHARED_MAIN_MENU_FWS,Y,N,NA,WEBSITE_HELP
14,account-change,SHARED_MM_BW,Y,N,NA,POLICY_CHANGE
15,account-change,BW_PROD_BW,Y,N,NA,POLICY_CHANGE
16,account-change,FOREMOST_AGENT_FOREMOST,Y,N,NA,POLICY_CHANGE
17,account-change,FARM_PL_FAS,Y,N,NA,FAS_PL_MAINMENU
18,account-change,SHARED_MM_FARMERSERVICE,Y,N,NA,POLICY_CHANGE
19,account-change,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE
20,account-change,FARMER_VANITY_VANITY,Y,N,NA,POLICY_CHANGE
21,account-change,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE
22,account-change,21V,Y,N,NA,POLICY_CHANGE
23,account-change,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,POLICY_CHANGE
24,account-change,21SV,Y,N,NA,POLICY_CHANGE
25,account-change,21SM,Y,N,NA,POLICY_CHANGE
26,account-change,SHARED_MAIN_MENU_FWS,Y,N,NA,POLICY_CHANGE
27,accounting-query,SHARED_MM_BW,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,SHARED_MAIN_MENU
28,accounting-query,BW_PROD_BW,Y,Y,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,TRANSFER
29,accounting-query,FOREMOST_AGENT_FOREMOST,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,FARMER_PL_ACCT_TXR 
30,accounting-query,FARM_PL_FAS,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,FARMER_PL_ACCT_TXR 
31,accounting-query,SHARED_MM_FARMERSERVICE,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,SHARED_MAIN_MENU
32,accounting-query,FARMER_SALES_FARMER_TRAINING,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,SHARED_MAIN_MENU
33,accounting-query,FARMER_VANITY_VANITY,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,SHARED_MAIN_MENU
34,accounting-query,SHARED_MM_HOMEOWNER,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,SHARED_MAIN_MENU
35,accounting-query,21V,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,SHARED_MAIN_MENU
36,accounting-query,21_VANITY_FF_AUTO_SERVICE,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,SHARED_MAIN_MENU
37,accounting-query,21SV,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,SHARED_MAIN_MENU
38,accounting-query,21SM,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,SHARED_MAIN_MENU
39,accounting-query,SHARED_MAIN_MENU_FWS,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.you.are.calling.You.can.say.things.like.account.changes.or.account.login.issues,SHARED_MAIN_MENU
40,account-vague,SHARED_MM_BW,Y,N,NA,POLICY_CHANGE
41,account-vague,BW_PROD_BW,Y,N,NA,POLICY_STATUS
42,account-vague,FOREMOST_AGENT_FOREMOST,Y,N,NA,POLICY_STATUS
43,account-vague,FARM_PL_FAS,Y,N,NA,FAS_PL_MAINMENU
44,account-vague,SHARED_MM_FARMERSERVICE,Y,N,NA,BILLING_PAYMENT 
45,account-vague,FARMER_SALES_FARMER_TRAINING,Y,N,NA,BILLING_PAYMENT 
46,account-vague,FARMER_VANITY_VANITY,Y,N,NA,BILLING_PAYMENT 
47,account-vague,SHARED_MM_HOMEOWNER,Y,N,NA,BILLING_PAYMENT 
48,account-vague,21V,Y,N,NA,POLICY_CHANGE
49,account-vague,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,POLICY_CHANGE
50,account-vague,21SV,Y,N,NA,POLICY_CHANGE
51,account-vague,21SM,Y,N,NA,BILLING_PAYMENT 
52,account-vague,SHARED_MAIN_MENU_FWS,Y,N,NA,BILLING_PAYMENT 
53,address-change,SHARED_MM_BW,Y,N,NA,POLICY_CHANGE
54,address-change,BW_PROD_BW,Y,N,NA,POLICY_QUESTION
55,address-change,FOREMOST_AGENT_FOREMOST,Y,N,NA,POLICY_QUESTION
56,address-change,FARM_PL_FAS,Y,N,NA,FAS_PL_MAINMENU
57,address-change,SHARED_MM_FARMERSERVICE,Y,N,NA,POLICY_CHANGE
58,address-change,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE
59,address-change,FARMER_VANITY_VANITY,Y,N,NA,POLICY_CHANGE
60,address-change,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE
61,address-change,21V,Y,N,NA,POLICY_CHANGE
62,address-change,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,POLICY_CHANGE
63,address-change,21SV,Y,N,NA,POLICY_CHANGE
64,address-change,21SM,Y,N,NA,POLICY_CHANGE
65,address-change,SHARED_MAIN_MENU_FWS,Y,N,NA,POLICY_CHANGE
66,agent-change,SHARED_MM_BW,Y,N,NA,POLICY_CHANGE
67,agent-change,BW_PROD_BW,Y,N,NA,POLICY_QUESTION
68,agent-change,FOREMOST_AGENT_FOREMOST,Y,N,NA,POLICY_QUESTION
69,agent-change,FARM_PL_FAS,Y,N,NA,FAS_PL_MAINMENU
70,agent-change,SHARED_MM_FARMERSERVICE,Y,N,NA,POLICY_CHANGE
71,agent-change,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE
72,agent-change,FARMER_VANITY_VANITY,Y,N,NA,POLICY_CHANGE
73,agent-change,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE
74,agent-change,21V,Y,N,NA,POLICY_CHANGE
75,agent-change,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,POLICY_CHANGE
76,agent-change,21SV,Y,N,NA,POLICY_CHANGE
77,agent-change,21SM,Y,N,NA,POLICY_CHANGE
78,agent-change,SHARED_MAIN_MENU_FWS,Y,N,NA,POLICY_CHANGE
79,agent-find,SHARED_MM_BW,Y,N,NA,AGENT_INFO
80,agent-find,BW_PROD_BW,Y,N,NA,POLICY_QUESTION
81,agent-find,FOREMOST_AGENT_FOREMOST,Y,N,NA,FOREMOST_STAR
82,agent-find,FARM_PL_FAS,Y,N,NA,FAS_PL_MAINMENU
83,agent-find,SHARED_MM_FARMERSERVICE,Y,N,NA,AGENT_INFO
84,agent-find,FARMER_SALES_FARMER_TRAINING,Y,N,NA,AGENT_INFO
85,agent-find,FARMER_VANITY_VANITY,Y,N,NA,AGENT_INFO
86,agent-find,SHARED_MM_HOMEOWNER,Y,N,NA,AGENT_INFO
87,agent-find,21V,Y,N,NA,POLICY_CHANGE
88,agent-find,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,POLICY_CHANGE
89,agent-find,21SV,Y,N,NA,POLICY_CHANGE
90,agent-find,21SM,Y,N,NA,POLICY_CHANGE
91,agent-find,SHARED_MAIN_MENU_FWS,Y,N,NA,POLICY_CHANGE
92,agent-support,SHARED_MM_BW,Y,N,NA,AGENT_INFO
93,agent-support,BW_PROD_BW,Y,N,NA,PROD_MAIN_MENU
94,agent-support,FOREMOST_AGENT_FOREMOST,Y,N,NA,PROD_MAIN_MENU
95,agent-support,FARM_PL_FAS,Y,N,NA,FARMER_PL_ACCT_TXR 
96,agent-support,SHARED_MM_FARMERSERVICE,Y,N,NA,POLICY_CHANGE
97,agent-support,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE
98,agent-support,FARMER_VANITY_VANITY,Y,N,NA,POLICY_CHANGE
99,agent-support,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE
100,agent-support,21V,Y,N,NA,POLICY_CHANGE
101,agent-support,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,POLICY_CHANGE
102,agent-support,21SV,Y,N,NA,POLICY_CHANGE
103,agent-support,21SM,Y,N,NA,POLICY_CHANGE
104,agent-support,SHARED_MAIN_MENU_FWS,Y,N,NA,POLICY_CHANGE
105,alert-vague,SHARED_MM_BW,Y,N,NA,POLICY_CHANGE
106,alert-vague,BW_PROD_BW,Y,N,NA,POLICY_QUESTION 
107,alert-vague,FOREMOST_AGENT_FOREMOST,Y,N,NA,FOREMOST_STAR
108,alert-vague,FARM_PL_FAS,Y,N,NA,FAS_PL_MAINMENU
109,alert-vague,SHARED_MM_FARMERSERVICE,Y,N,NA,POLICY_CHANGE
110,alert-vague,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE
111,alert-vague,FARMER_VANITY_VANITY,Y,N,NA,POLICY_CHANGE
112,alert-vague,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE
113,alert-vague,21V,Y,N,NA,POLICY_CHANGE
114,alert-vague,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,POLICY_CHANGE
115,alert-vague,21SV,Y,N,NA,POLICY_CHANGE
117,alert-vague,SHARED_MAIN_MENU_FWS,Y,N,NA,POLICY_CHANGE
118,application-get_help,SHARED_MM_BW,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,POLICY_CHANGE
119,application-get_help,BW_PROD_BW,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,POLICY_QUESTION 
120,application-get_help,FOREMOST_AGENT_FOREMOST,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,FOREMOST_STAR
121,application-get_help,FARM_PL_FAS,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,FAS_PL_MAINMENU
122,application-get_help,SHARED_MM_FARMERSERVICE,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,POLICY_CHANGE
123,application-get_help,FARMER_SALES_FARMER_TRAINING,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,POLICY_CHANGE
124,application-get_help,FARMER_VANITY_VANITY,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,POLICY_CHANGE
125,application-get_help,SHARED_MM_HOMEOWNER,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,POLICY_CHANGE
126,application-get_help,21V,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,POLICY_CHANGE
127,application-get_help,21_VANITY_FF_AUTO_SERVICE,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,POLICY_CHANGE
128,application-get_help,21SV,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,POLICY_CHANGE
129,application-get_help,21SM,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,POLICY_CHANGE
130,application-get_help,SHARED_MAIN_MENU_FWS,Y,N,In.order.to.get.you.to.the.right.place.can.you.tell.me.a.little.more.about.why.youre.calling.You.can.say.things.like.help.with.a.policy.application.or.help.with.getting.a.quote,POLICY_CHANGE
131,autopay-cancel,SHARED_MM_BW,Y,N,NA,POLICY_CHANGE
132,autopay-cancel,BW_PROD_BW,Y,N,NA,OTHER_BILLING
133,autopay-cancel,FOREMOST_AGENT_FOREMOST,Y,N,NA,OTHER_BILLING
134,autopay-cancel,FARM_PL_FAS,Y,N,NA,FAS_BILLING_MENU
135,autopay-cancel,SHARED_MM_FARMERSERVICE,Y,N,NA,POLICY_CHANGE
136,autopay-cancel,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE
137,autopay-cancel,FARMER_VANITY_VANITY,Y,N,NA,POLICY_CHANGE
138,autopay-cancel,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE
139,autopay-cancel,21V,Y,N,NA,POLICY_CHANGE
140,autopay-cancel,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,POLICY_CHANGE
141,autopay-cancel,21SV,Y,N,NA,POLICY_CHANGE
142,autopay-cancel,21SM,Y,N,NA,POLICY_CHANGE
143,autopay-cancel,SHARED_MAIN_MENU_FWS,Y,N,NA,POLICY_CHANGE
144,autopay-change,SHARED_MM_BW,Y,N,NA,POLICY_CHANGE
145,autopay-change,BW_PROD_BW,Y,N,NA,OTHER_BILLING
146,autopay-change,FOREMOST_AGENT_FOREMOST,Y,N,NA,OTHER_BILLING
147,autopay-change,FARM_PL_FAS,Y,N,NA,FAS_BILLING_MENU
148,autopay-change,SHARED_MM_FARMERSERVICE,Y,N,NA,POLICY_CHANGE
149,autopay-change,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE
150,autopay-change,FARMER_VANITY_VANITY,Y,N,NA,POLICY_CHANGE
151,autopay-change,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE
152,autopay-change,21V,Y,N,NA,POLICY_CHANGE
153,autopay-change,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,POLICY_CHANGE
154,autopay-change,21SV,Y,N,NA,POLICY_CHANGE
155,autopay-change,21SM,Y,N,NA,POLICY_CHANGE
156,autopay-change,SHARED_MAIN_MENU_FWS,Y,N,NA,POLICY_CHANGE
157,autopay-setup,SHARED_MM_BW,Y,N,NA,POLICY_CHANGE
158,autopay-setup,BW_PROD_BW,Y,N,NA,OTHER_BILLING
159,autopay-setup,FOREMOST_AGENT_FOREMOST,Y,N,NA,POLICY_CHANGE
